mmm_timeseries_id,organisation_id,organisation_vertical,organisation_subvertical,organisation_marketing_sources,organisation_primary_territory_name,territory_name,date_day,currency_code,first_purchases,first_purchases_units,first_purchases_original_price,first_purchases_gross_discount,all_purchases,all_purchases_units,all_purchases_original_price,all_purchases_gross_discount,google_paid_search_spend,google_shopping_spend,google_pmax_spend,google_display_spend,google_video_spend,meta_facebook_spend,meta_instagram_spend,meta_other_spend,tiktok_spend,google_paid_search_clicks,google_shopping_clicks,google_pmax_clicks,google_display_clicks,google_video_clicks,meta_facebook_clicks,meta_instagram_clicks,meta_other_clicks,tiktok_clicks,google_paid_search_impressions,google_shopping_impressions,google_pmax_impressions,google_display_impressions,google_video_impressions,meta_facebook_impressions,meta_instagram_impressions,meta_other_impressions,tiktok_impressions,direct_clicks,branded_search_clicks,organic_search_clicks,email_clicks,referral_clicks,all_other_clicks,total_google_spend,total_meta_spend,day_of_week,week_of_year,month,is_weekend,is_holiday,total_google_spend_log,total_meta_spend_log
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-07-29,USD,22,27,3837.980834417,632.595555037,27,32,4552.984240467,846.593069199,0.0,0.0,205.528905465,0.0,0.0,233.75,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,31907.0,0.0,0.0,18997.0,0.0,0.0,0.0,139.0,0.0,300.0,1.0,61.0,40.0,205.528905465,233.75,4,30,7,0,0,5.330440380643817,5.458521118088372
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-07-30,USD,14,21,2747.998630691,443.996522454,17,26,3177.99803177,613.806522454,0.0,0.0,277.082024518,0.0,0.0,248.84,0.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,44483.0,0.0,0.0,20188.0,0.0,0.0,0.0,209.0,0.0,442.0,8.0,110.0,62.0,277.082024518,248.84,5,30,7,1,0,5.6279161223943115,5.520820712974823
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-07-31,USD,31,39,4567.998817897,1185.197965701,39,48,5468.998817897,1504.997965701,0.0,0.0,427.436429252,0.0,0.0,274.51,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,58173.0,0.0,0.0,24718.0,0.0,0.0,0.0,262.0,0.0,427.0,631.0,108.0,65.0,427.436429252,274.51,6,30,7,1,0,6.060142370560513,5.618623925574879
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-08-01,USD,18,30,2878.98238509,696.519993179,22,34,3335.970202072,754.41074707,35.24,0.0,347.232797778,0.0,0.0,270.06,0.0,0.0,0.0,48.0,0.0,320.0,0.0,0.0,163.0,0.0,0.0,0.0,890.0,0.0,55559.0,0.0,0.0,25076.0,0.0,0.0,0.0,247.0,0.0,400.0,117.0,125.0,68.0,382.47279777800003,270.06,0,31,8,0,0,5.949268686813067,5.60234019858787
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-08-02,USD,23,27,3107.99366851,627.097427389,28,33,3991.987441096,934.011083386,38.4,0.0,314.952970614,0.0,0.0,257.62,0.0,0.0,0.0,46.0,0.0,330.0,0.0,0.0,127.0,0.0,0.0,0.0,702.0,0.0,47854.0,0.0,0.0,22688.0,0.0,0.0,0.0,255.0,0.0,425.0,37.0,146.0,65.0,353.35297061399996,257.62,1,31,8,0,0,5.870293508497547,5.555359802867706
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-08-03,USD,25,34,4513.998777116,818.006776983,25,34,4513.998777116,818.006776983,25.13,0.0,392.463058776,0.0,0.0,198.93,0.0,0.0,0.0,31.0,0.0,371.0,0.0,0.0,92.0,0.0,0.0,0.0,356.0,0.0,52097.0,0.0,0.0,14486.0,0.0,0.0,0.0,215.0,0.0,443.0,33.0,137.0,86.0,417.593058776,198.93,2,31,8,0,0,6.036899227877283,5.297967305283741
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-08-04,USD,23,27,3507.990457088,541.1,24,28,3756.990457088,761.1,20.57,0.0,354.88070814,0.0,0.0,150.67,0.0,0.0,0.0,23.0,0.0,335.0,0.0,0.0,58.0,0.0,0.0,0.0,373.0,0.0,54418.0,0.0,0.0,8954.0,0.0,0.0,0.0,206.0,0.0,450.0,17.0,109.0,45.0,375.45070814,150.67,3,31,8,0,0,5.93078711739411,5.021707108063305
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-08-05,USD,33,48,6530.990937141,1116.696336214,38,57,7620.990937141,1674.706336214,17.34,0.0,375.67,0.0,0.0,136.34,0.0,0.0,0.0,22.0,0.0,363.0,0.0,0.0,71.0,0.0,0.0,0.0,436.0,0.0,60234.0,0.0,0.0,9713.0,0.0,0.0,0.0,193.0,0.0,491.0,24.0,130.0,63.0,393.01,136.34,4,31,8,0,0,5.976376289686509,4.9224596031925305
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-08-06,USD,22,30,3194.982270999,1076.092891096,25,35,3562.982270999,1136.092891096,21.61,0.0,410.51,0.0,0.0,137.13,0.0,0.0,0.0,24.0,0.0,361.0,0.0,0.0,77.0,0.0,0.0,0.0,318.0,0.0,68403.0,0.0,0.0,11664.0,0.0,0.0,0.0,229.0,0.0,454.0,251.0,111.0,41.0,432.12,137.13,5,31,8,1,0,6.0710148258659915,4.928195270711869
596eef7c71f933d820d0e485935d0e8f,04769dac8b828ec7a85676d9e2bffe6f,Beauty & Fitness,Hair Care,"Google, Meta",US,All Territories,2022-08-07,USD,30,34,4513.955341395,1159.751258609,34,39,5099.945341395,1434.741258609,18.62,0.0,348.94,0.0,0.0,149.06,0.0,0.0,0.0,22.0,0.0,334.0,0.0,0.0,49.0,0.0,0.0,0.0,384.0,0.0,71589.0,0.0,0.0,13756.0,0.0,0.0,0.0,167.0,0.0,442.0,226.0,126.0,28.0,367.56,149.06,6,31,8,1,0,5.909603520627662,5.011035214117583
