section,metric,pymc,meridian,robyn
Model quality,Holdout R²,0.5913,0.7786,
Model quality,Holdout WAPE (%),52.51,32.22,
Model quality,Train R²,,0.8555,0.6702
Model quality,Max R-hat,1.006,1.029,
Model quality,Divergences,0.0,60.0,
Model quality,Pareto solutions,,,130.0
Attribution,Google share (%),10.1,5.88,5.96
Attribution,Meta share (%),10.26,1.1,2.76
Attribution,Total paid share (%),20.36,6.98,8.72
Efficiency,Google ROAS (purch/$),0.01333,0.00776,0.00806
Efficiency,Meta ROAS (purch/$),0.04396,0.00473,0.01219
Efficiency,Google revenue ROAS (x),2.43,1.41,1.47
Efficiency,Meta revenue ROAS (x),8.0,0.86,2.22
